dropout (first layer),dropout (second layer),dropout (output layer),Test Accuracy,Test Precision
0.05,0.15000000000000002,0.1,0.9698237171826612,0.9719870871691929
0.05,0.15000000000000002,0.15000000000000002,0.9697189513323449,0.9717622536348691
0.05,0.15000000000000002,0.2,0.9695959115794514,0.9715667996234133
0.05,0.2,0.0,0.9697023563339024,0.9716095293419811
0.05,0.2,0.05,0.9697987793901216,0.9716676341972187
0.05,0.2,0.1,0.9698589959872947,0.9716834559036686
0.05,0.2,0.15000000000000002,0.9699745723111177,0.9717775948043618
0.05,0.2,0.2,0.9700185338623406,0.9717556624268393
0.1,0.0,0.0,0.9701163606771703,0.9718071583799451
0.1,0.0,0.05,0.9702054634313348,0.9718613639566682
0.1,0.0,0.1,0.9702717498434907,0.9718919426698845
0.1,0.0,0.15000000000000002,0.9703689933606486,0.9719533234963437
0.1,0.0,0.2,0.9700785423990855,0.9715697282136401
0.1,0.05,0.0,0.9701435513138311,0.9716038816913484
0.1,0.05,0.05,0.9702198417244313,0.9716616808730127
0.1,0.05,0.1,0.9702712854482741,0.9716691542309638
0.1,0.05,0.15000000000000002,0.9703515546828174,0.9717477247886982
0.1,0.05,0.2,0.9704119705717279,0.9717956944188267
0.1,0.1,0.0,0.9703057110568769,0.9719933863117118
0.1,0.1,0.05,0.9703690787098687,0.9720225324931776
0.1,0.1,0.1,0.970422252724392,0.972054718739504
0.1,0.1,0.15000000000000002,0.9704898691489129,0.9720948926399734
0.1,0.1,0.2,0.9705554071108805,0.9721255395455468
0.1,0.15000000000000002,0.0,0.9706150540443224,0.9721592857152082
0.1,0.15000000000000002,0.05,0.9705691098674151,0.9720641590389002
0.1,0.15000000000000002,0.1,0.9706457401313263,0.9721306589416896
0.1,0.15000000000000002,0.15000000000000002,0.9706940159784607,0.972150558759467
0.1,0.15000000000000002,0.2,0.9706857145892176,0.9723188050519882
0.1,0.2,0.0,0.9707429538751968,0.9723474536551444
0.1,0.2,0.05,0.9708021827915483,0.972371609641551
0.1,0.2,0.1,0.9708527296672538,0.9723950247285909
0.1,0.2,0.15000000000000002,0.9709019122055496,0.9724399505980348
0.1,0.2,0.2,0.9708123261648172,0.9722946553765035
